date,speaker,title,institution,link
Jan 10,Jeffrey Love, Mapping a magnetic superstorm: March 1989 geoelectric hazards and impacts on the United States power grid ,USGS,https://youtu.be/fjLpKkPz8G0
Jan 24,Denny Oliveira ,Satellite orbital drag in low-Earth orbit,GSFC,https://youtu.be/yb9OxvCRIaA
Jan 31,Megan Gilles ,Optical Field Line Resonances,U Calgary,https://youtu.be/9qGRo3WWzMc
Feb 8,Leon Olifer ,Space Radiation - How bad can it get?,U Alberta,https://youtu.be/R1CuxFjx0gA
Feb 8,Riley Troyer,Substorm Activity as a Driver of Energetic Pulsating Aurora,U Iowa,https://youtu.be/R1CuxFjx0gA?t=1582
Feb 14,Mei-Ching Fok,An Overview of Inner Magnetosphere Modeling and New Developments in CIMI, GSFC,https://youtu.be/IhSNMl3fNRE
Feb 28,Barbara Thompson,How to get started with Python,GSFC,https://youtu.be/Nms_3hSUBhA
Mar 7,Ling Ying Khoo,On the challenges of measuring energetic particles in the inner belt,LASP,https://youtu.be/j1tz5hzmbas
Mar 7,Nithin Sivadas,Uncertainty in the solar wind propagation may explain polar cap potential saturation,CUA,https://youtu.be/j1tz5hzmbas?t=1638
Mar 14,Colin Forsyth,Physical Processes of Meso-scale dynamic auroral forms ,MSSL,https://youtu.be/KHL4b5us34c
Mar 21,Maria Walach,Ionospheric Convection and Auroral Responses to Solar Wind Driving,Lancaster,https://youtu.be/W4nMx_vf8MA
Mar 28,Barbara Thompson and Kyle Murphy, Basic Data Principles in Python, GSFC/Self/Lakehead,https://youtu.be/HicsiuA67Sg
Apr 4,Ramiz Qudsi,Refining predictions of reconnection X-lines at Earth’s Magnetopause,BU,https://youtu.be/YCklq-Hsiao
Apr 4,Man Hua, Radiation Belt Electron Acceleration Driven by Very-Low-Frequency Transmitter Waves in Near-Earth Space,UCLA,https://youtu.be/YCklq-Hsiao?t=1566
Apr 11,Kyle Murphy,Control Flow in Python,Self/Lakehead,https://youtu.be/hYP7ZI3XSIs
Apr 25,Andrei Runov,Magnetotail Transients Revisited,UCLA,https://youtu.be/tCei-bGFrpo 
May 2,Connor O'Brien,Neural Network Models of the Near-Earth Solar Wind and Magnetosheath,BU,https://youtu.be/fMmHaC8Or-c?t=1200
May 2,Xi Lu,Statistical Study of Foreshock Density Holes,Alaska,https://youtu.be/fMmHaC8Or-c
May 9,John Coxon, The distribution of Birkeland currents in time and space,Northumbria,https://youtu.be/63PJScGWE0k 
May 16,Eric Winter,Numpy,APL,https://youtu.be/M2vl8t2z2jI 
May 23,Subash Adhikari,A fundamental connection between reconnection and turbulence,Delaware,https://youtu.be/okmzV1flNbY
Jun 6,Harsha Gurram,Shear Alfvén Waves Driven by Magnetic Reconnection as an Energy Source for the Aurora Borealis,Wisconsin-Madison,https://youtu.be/nGGfxxmoq0Y?t=1478
Jun 6,Jinbei Huang,Modeling the Effects of Drift Orbit Bifurcation on Radiation Belt Electrons,West Virginia,https://youtu.be/nGGfxxmoq0Y
Jun 13,Julia Stawarz,Magnetic Reconnection and Magnetosheath Turbulence: Advances MMS mission,https://youtu.be/cv5gL5Bv4fI
Jun 27,Imogen Gingell,Magnetic Reconnection at Collisionless Shockwaves,Southampton,https://youtu.be/lIJdEBwours
Jul 11,Hu Sun,Reconstructing Ionospheric TEC: The VISTA Algorithm and VISTA Dataset,Michigan,https://youtu.be/syUZaqSyTag
Jul 11,Luisa Capannolo,Distinguishing the Drivers and Understanding the Properties of Relativistic Electron Precipitation in the Nightside,BU,https://youtu.be/syUZaqSyTag?t=1510 
Jul 18,Allison Jaynes,The Dynamic Loss of Earth's Radiation Belts,Iowa,https://youtu.be/ZTIJtMqszhU
Jul 25,Miriam Sinnhuber,Energetic electron precipitation into the atmosphere,KIT,https://youtu.be/aPxLwrBTwdg
Aug 8,Louis Ozeke,Electron Pitch Angle Distributions Observed During the Van Allen Probe Mission,U Alberta,https://youtu.be/N5P5tiE9YJw
Aug 22,Josh Pettit,Modeling the impacts of energetic particle precipitation,GSFC,https://youtu.be/7SCmO133-OM
Aug 29,Bob Marshall,Energetic electron precipitation from the magnetosphere into the atmosphere,UC Boulder,https://youtu.be/cZnOaJ5oJGQ 
 
